system:index,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,date,name,.geo
0_107,3862.5,3754.0,3549.0,4080.5,4816.0,5300.5,5466.5,5138.0,2024-01,Location_108,"{""type"":""Point"",""coordinates"":[110.844906,-7.164221999999999]}"
0_108,5042.0,5063.5,4950.0,5329.0,5703.5,6035.0,6044.0,5996.0,2024-01,Location_109,"{""type"":""Point"",""coordinates"":[110.86583330000002,-7.0894444]}"
0_109,3436.0,3322.5,2957.5,3471.5,4330.5,4942.5,4949.5,4836.5,2024-01,Location_110,"{""type"":""Point"",""coordinates"":[110.8780556,-7.1094444]}"
0_110,3650.5,3781.5,3532.5,3963.0,4663.0,5242.0,5382.5,4966.5,2024-01,Location_111,"{""type"":""Point"",""coordinates"":[110.88222220000002,-7.116111099999999]}"
0_111,5835.5,5769.5,5692.5,6131.5,6397.5,6622.0,6702.5,6669.0,2024-01,Location_112,"{""type"":""Point"",""coordinates"":[110.95253140000001,-7.039562499999999]}"
0_112,6263.0,5858.5,5542.0,5672.5,5973.5,6291.0,6263.0,6342.5,2024-01,Location_113,"{""type"":""Point"",""coordinates"":[110.94420850000002,-7.046905200000002]}"
0_113,7061.0,6517.5,6175.0,6380.5,6576.0,6758.5,6781.5,6740.5,2024-01,Location_114,"{""type"":""Point"",""coordinates"":[110.93583330000001,-7.050833299999999]}"
0_114,7873.5,7522.0,7140.0,7316.0,7242.0,7374.0,7332.5,7550.5,2024-01,Location_115,"{""type"":""Point"",""coordinates"":[110.93070190000002,-7.0610329]}"
0_115,5355.5,5280.0,5163.5,5554.5,5933.0,6221.5,6181.5,6245.0,2024-01,Location_116,"{""type"":""Point"",""coordinates"":[110.92444440000001,-7.0677778]}"
0_116,4987.0,4971.0,4886.5,5240.5,5647.5,5995.0,5968.5,5950.5,2024-01,Location_117,"{""type"":""Point"",""coordinates"":[110.8819272,-7.080367999999999]}"
0_117,3224.5,3246.5,2985.0,3538.5,4338.0,4899.5,4891.5,4765.5,2024-01,Location_118,"{""type"":""Point"",""coordinates"":[110.89165560000002,-7.091678300000001]}"
0_118,9508.5,8690.0,8178.5,8384.0,8038.0,8025.5,7932.5,8029.5,2024-01,Location_119,"{""type"":""Point"",""coordinates"":[110.99750000000002,-7.0772222]}"
0_119,7965.5,7699.5,7365.0,7412.0,7074.0,7119.0,7013.0,7509.5,2024-01,Location_120,"{""type"":""Point"",""coordinates"":[110.9906754,-7.0917069]}"
0_120,2294.5,2141.0,1817.5,2231.0,3040.0,3566.0,3699.5,3522.0,2024-01,Location_121,"{""type"":""Point"",""coordinates"":[111.0864785,-7.1688721]}"
0_121,1761.0,1805.0,1536.5,1996.0,2836.5,3513.0,3692.0,3681.5,2024-01,Location_122,"{""type"":""Point"",""coordinates"":[111.12075620000002,-7.189183600000001]}"
0_122,2843.5,2811.5,2509.0,3080.0,4053.0,4725.5,4857.5,4856.0,2024-01,Location_123,"{""type"":""Point"",""coordinates"":[111.12611110000002,-7.153611100000001]}"
